lda_score_MIN,from_IP,to_IP
1.09E-05,10.0.0.11,172.10.2.18
1.09E-05,10.0.0.11,172.20.1.152
1.09E-05,10.0.0.11,172.30.2.79
1.09E-05,10.0.0.11,172.20.1.94
1.09E-05,10.0.0.11,172.10.1.215
1.09E-05,10.0.0.11,172.20.2.65
1.09E-05,10.0.0.11,172.30.1.224
1.09E-05,10.0.0.11,172.10.2.46
1.09E-05,10.0.0.11,172.10.2.90
1.09E-05,10.0.0.11,172.30.1.253
1.09E-05,10.0.0.11,172.20.1.141
1.09E-05,10.0.0.11,172.10.2.144
1.09E-05,10.0.0.11,172.30.1.123
1.09E-05,10.0.0.11,172.20.1.208
1.09E-05,10.0.0.11,172.20.2.75
1.09E-05,10.0.0.11,172.20.1.139
1.09E-05,10.0.0.11,172.30.1.125
1.09E-05,10.0.0.11,172.10.1.226
1.09E-05,10.0.0.11,172.30.2.133
1.09E-05,10.0.0.11,172.30.1.2
1.09E-05,10.0.0.11,172.10.1.14
1.09E-05,10.0.0.11,172.10.2.28
1.09E-05,10.0.0.11,172.20.2.83
1.09E-05,10.0.0.11,172.10.1.52
1.09E-05,10.0.0.11,172.20.1.57
1.09E-05,10.0.0.11,172.20.1.166
1.09E-05,10.0.0.11,172.20.1.45
1.09E-05,10.0.0.11,172.30.1.201
1.09E-05,10.0.0.11,172.30.2.122
1.09E-05,10.0.0.11,172.20.2.13
1.09E-05,10.0.0.11,172.10.2.63
1.09E-05,10.0.0.11,172.20.1.81
1.09E-05,10.0.0.11,172.30.1.48
1.09E-05,10.0.0.11,172.10.1.124
1.09E-05,10.0.0.11,172.30.1.229
1.09E-05,10.0.0.11,172.30.1.36
1.09E-05,10.0.0.11,172.20.2.77
1.09E-05,10.0.0.11,172.20.1.27
1.09E-05,10.0.0.11,172.30.2.48
1.09E-05,10.0.0.11,172.20.1.188
1.09E-05,10.0.0.11,172.10.1.154
1.09E-05,10.0.0.11,172.30.2.42
1.09E-05,10.0.0.11,172.10.1.41
1.09E-05,10.0.0.11,172.20.1.58
1.09E-05,10.0.0.11,172.10.1.83
1.09E-05,10.0.0.11,172.30.1.93
1.09E-05,10.0.0.11,172.20.1.86
1.09E-05,10.0.0.11,172.30.1.209
1.09E-05,10.0.0.11,172.30.2.62
1.09E-05,10.0.0.11,172.30.1.82
1.09E-05,10.0.0.11,172.20.1.196
1.09E-05,10.0.0.11,172.10.2.96
1.09E-05,10.0.0.11,172.30.1.64
1.09E-05,10.0.0.11,172.20.1.99
1.09E-05,10.0.0.11,172.10.1.134
1.09E-05,10.0.0.11,172.30.1.240
1.09E-05,10.0.0.11,172.30.1.104
1.09E-05,10.0.0.11,172.30.2.11
1.09E-05,10.0.0.11,172.30.1.100
1.09E-05,10.0.0.11,172.30.1.212
1.09E-05,10.0.0.11,172.10.2.101
1.09E-05,10.0.0.11,172.10.1.192
1.09E-05,10.0.0.11,172.20.1.104
1.09E-05,10.0.0.11,172.20.1.223
1.09E-05,10.0.0.11,172.30.1.227
1.09E-05,10.0.0.11,172.20.2.24
1.09E-05,10.0.0.11,172.10.1.136
1.09E-05,10.0.0.11,172.30.2.97
1.09E-05,10.0.0.11,172.10.1.84
1.09E-05,10.0.0.11,172.10.1.37
1.09E-05,10.0.0.11,172.10.1.55
1.09E-05,10.0.0.11,172.30.1.211
1.09E-05,10.0.0.11,172.20.2.81
1.09E-05,10.0.0.11,172.20.2.120
1.09E-05,10.0.0.11,172.20.1.101
1.09E-05,10.0.0.11,172.30.2.108
1.09E-05,10.0.0.11,172.20.2.20
1.09E-05,10.0.0.11,172.20.1.138
1.09E-05,10.0.0.11,172.20.1.197
1.09E-05,10.0.0.11,172.20.2.28
1.09E-05,10.0.0.11,172.20.1.107
1.09E-05,10.0.0.11,172.30.1.228
1.09E-05,10.0.0.11,172.20.1.248
1.09E-05,10.0.0.11,172.10.1.101
1.09E-05,10.0.0.11,172.20.2.46
1.09E-05,10.0.0.11,172.20.1.129
1.09E-05,10.0.0.11,172.30.2.35
1.09E-05,10.0.0.11,172.10.2.71
1.09E-05,10.0.0.11,172.10.2.78
1.09E-05,10.0.0.11,172.30.1.55
1.09E-05,10.0.0.11,172.30.2.14
1.09E-05,10.0.0.11,172.10.1.197
1.09E-05,10.0.0.11,172.10.1.123
1.09E-05,10.0.0.11,172.30.1.138
1.09E-05,10.0.0.11,172.10.2.143
1.09E-05,10.0.0.11,172.20.2.132
1.09E-05,10.0.0.11,172.30.1.20
1.09E-05,10.0.0.11,172.20.1.190
1.09E-05,10.0.0.11,172.20.1.136
1.09E-05,10.0.0.11,172.20.1.111
1.09E-05,10.0.0.11,172.20.1.174
1.09E-05,10.0.0.11,172.10.2.87
1.09E-05,10.0.0.11,172.20.2.106
1.09E-05,10.0.0.11,172.20.1.88
1.09E-05,10.0.0.11,172.30.1.213
1.09E-05,10.0.0.11,172.10.1.232
1.09E-05,10.0.0.11,172.10.1.131
1.09E-05,10.0.0.11,172.10.1.205
1.09E-05,10.0.0.11,172.30.1.219
1.09E-05,10.0.0.11,172.30.1.65
1.09E-05,10.0.0.11,172.30.2.44
1.09E-05,10.0.0.11,172.20.1.8
1.09E-05,10.0.0.11,172.20.2.117
1.09E-05,10.0.0.11,172.30.1.232
1.09E-05,10.0.0.11,172.30.1.167
1.09E-05,10.0.0.11,172.20.1.239
1.09E-05,10.0.0.11,172.20.2.68
1.09E-05,10.0.0.11,172.30.1.247
1.09E-05,10.0.0.11,172.30.2.3
1.09E-05,10.0.0.11,172.10.2.74
1.09E-05,10.0.0.11,172.10.1.191
1.09E-05,10.0.0.11,172.30.1.140
1.09E-05,10.0.0.11,172.20.1.251
1.09E-05,10.0.0.11,172.20.1.163
1.09E-05,10.0.0.11,172.20.1.115
1.09E-05,10.0.0.11,172.20.1.92
1.09E-05,10.0.0.11,172.10.1.63
1.09E-05,10.0.0.11,172.30.1.110
1.09E-05,10.0.0.11,172.30.2.56
1.09E-05,10.0.0.11,172.20.1.217
1.09E-05,10.0.0.11,172.20.2.3
1.09E-05,10.0.0.11,172.20.2.84
1.09E-05,10.0.0.11,172.10.1.239
1.09E-05,10.0.0.11,172.20.2.108
1.09E-05,10.0.0.11,172.30.1.217
1.09E-05,10.0.0.11,172.20.2.6
1.09E-05,10.0.0.11,172.10.2.51
1.09E-05,10.0.0.11,172.10.2.107
1.09E-05,10.0.0.11,172.20.1.233
1.09E-05,10.0.0.11,172.20.1.230
1.09E-05,10.0.0.11,172.10.1.49
1.09E-05,10.0.0.11,172.20.2.78
1.09E-05,10.0.0.11,172.10.1.11
1.09E-05,10.0.0.11,172.10.1.142
1.09E-05,10.0.0.11,172.10.1.210
1.09E-05,10.0.0.11,172.30.1.137
1.09E-05,10.0.0.11,172.10.2.23
1.09E-05,10.0.0.11,172.10.1.36
1.09E-05,10.0.0.11,172.10.1.145
1.09E-05,10.0.0.11,172.20.2.29
1.09E-05,10.0.0.11,172.30.2.101
1.09E-05,10.0.0.11,172.30.2.72
1.09E-05,10.0.0.11,172.20.1.124
1.09E-05,10.0.0.11,172.30.1.208
1.09E-05,10.0.0.11,172.20.1.198
1.09E-05,10.0.0.11,172.20.1.73
1.09E-05,10.0.0.11,172.10.1.227
1.09E-05,10.0.0.11,172.10.2.2
1.09E-05,10.0.0.11,172.10.1.44
1.09E-05,10.0.0.11,172.30.1.45
1.09E-05,10.0.0.11,172.30.2.13
1.09E-05,10.0.0.11,172.20.2.93
1.09E-05,10.0.0.11,172.10.1.236
1.09E-05,10.0.0.11,172.20.1.126
1.09E-05,10.0.0.11,172.10.1.32
1.09E-05,10.0.0.11,172.10.1.150
1.09E-05,10.0.0.11,172.20.1.242
1.09E-05,10.0.0.11,172.20.1.150
1.09E-05,10.0.0.11,172.30.2.106
1.09E-05,10.0.0.11,172.20.1.145
1.09E-05,10.0.0.11,172.20.1.10
1.09E-05,10.0.0.11,172.20.1.48
1.09E-05,10.0.0.11,172.10.2.119
1.09E-05,10.0.0.11,172.30.1.239
1.09E-05,10.0.0.11,172.10.2.130
1.09E-05,10.0.0.11,172.10.1.139
1.09E-05,10.0.0.11,172.30.2.129
1.09E-05,10.0.0.11,172.20.1.244
1.09E-05,10.0.0.11,172.20.2.19
1.09E-05,10.0.0.11,172.20.2.8
1.09E-05,10.0.0.11,172.20.1.221
1.09E-05,10.0.0.11,172.20.2.131
1.09E-05,10.0.0.11,172.30.2.19
1.09E-05,10.0.0.11,172.30.1.236
1.09E-05,10.0.0.11,172.10.2.49
1.09E-05,10.0.0.11,172.20.1.35
1.09E-05,10.0.0.11,172.30.1.5
1.09E-05,10.0.0.11,172.30.2.63
1.09E-05,10.0.0.11,172.30.1.172
1.09E-05,10.0.0.11,172.10.2.69
1.09E-05,10.0.0.11,172.30.1.244
1.09E-05,10.0.0.11,172.10.2.11
1.09E-05,10.0.0.11,172.30.1.173
1.09E-05,10.0.0.11,172.20.1.18
1.09E-05,10.0.0.11,172.20.1.147
1.09E-05,10.0.0.11,172.20.1.132
1.09E-05,10.0.0.11,172.10.1.228
1.09E-05,10.0.0.11,172.10.2.113
1.09E-05,10.0.0.11,172.30.1.109
1.09E-05,10.0.0.11,172.10.1.247
1.09E-05,10.0.0.11,172.20.1.241
1.09E-05,10.0.0.11,172.20.2.58
1.09E-05,10.0.0.11,172.10.1.174
1.09E-05,10.0.0.11,172.10.2.6
1.09E-05,10.0.0.11,172.20.1.219
1.09E-05,10.0.0.11,172.30.1.25
1.09E-05,10.0.0.11,172.20.1.83
1.09E-05,10.0.0.11,172.20.1.42
1.09E-05,10.0.0.11,172.10.1.12
1.09E-05,10.0.0.11,172.30.1.164
1.09E-05,10.0.0.11,172.30.1.245
1.09E-05,10.0.0.11,172.20.1.56
1.09E-05,10.0.0.11,172.20.1.160
1.09E-05,10.0.0.11,172.30.2.29
1.09E-05,10.0.0.11,172.30.1.162
1.09E-05,10.0.0.11,172.20.2.141
1.09E-05,10.0.0.11,172.30.2.41
1.09E-05,10.0.0.11,172.10.1.65
1.09E-05,10.0.0.11,172.30.1.44
1.09E-05,10.0.0.11,172.30.1.214
1.09E-05,10.0.0.11,172.10.1.69
1.09E-05,10.0.0.11,172.10.2.66
1.09E-05,10.0.0.11,172.20.2.127
1.09E-05,10.0.0.11,172.30.1.86
1.09E-05,10.0.0.11,172.20.1.173
1.09E-05,10.0.0.11,172.10.1.79
1.09E-05,10.0.0.11,172.10.2.59
1.09E-05,10.0.0.11,172.20.1.85
1.09E-05,10.0.0.11,172.30.1.56
1.09E-05,10.0.0.11,172.30.1.51
1.09E-05,10.0.0.11,172.30.2.52
1.09E-05,10.0.0.11,172.30.2.124
1.09E-05,10.0.0.11,172.20.1.91
1.09E-05,10.0.0.11,172.10.2.86
1.09E-05,10.0.0.11,172.30.1.24
1.09E-05,10.0.0.11,172.10.1.27
1.09E-05,10.0.0.11,172.10.2.93
1.09E-05,10.0.0.11,172.10.1.76
1.09E-05,10.0.0.11,172.20.1.205
1.09E-05,10.0.0.11,172.10.2.82
1.09E-05,10.0.0.11,172.30.2.83
1.09E-05,10.0.0.11,172.10.2.72
1.09E-05,10.0.0.11,172.20.1.63
1.09E-05,10.0.0.11,172.30.1.147
1.09E-05,10.0.0.11,172.30.1.215
1.09E-05,10.0.0.11,172.30.1.195
1.09E-05,10.0.0.11,172.30.1.40
1.09E-05,10.0.0.11,172.10.2.43
1.09E-05,10.0.0.11,172.20.1.220
1.09E-05,10.0.0.11,172.10.1.46
1.09E-05,10.0.0.11,172.30.1.198
1.09E-05,10.0.0.11,172.20.1.232
1.09E-05,10.0.0.11,172.10.1.250
1.09E-05,10.0.0.11,172.10.1.203
1.09E-05,10.0.0.11,172.30.1.38
1.09E-05,10.0.0.11,172.30.2.21
1.09E-05,10.0.0.11,172.20.1.14
1.09E-05,10.0.0.11,172.20.2.107
1.09E-05,10.0.0.11,172.30.2.40
1.09E-05,10.0.0.11,172.10.1.110
1.09E-05,10.0.0.11,172.30.1.35
1.09E-05,10.0.0.11,172.10.1.29
1.09E-05,10.0.0.11,172.30.1.34
1.09E-05,10.0.0.11,172.30.2.49
1.09E-05,10.0.0.11,172.10.1.254
1.09E-05,10.0.0.11,172.20.2.123
1.09E-05,10.0.0.11,172.10.2.111
1.09E-05,10.0.0.11,172.30.1.111
1.09E-05,10.0.0.11,172.20.2.31
1.09E-05,10.0.0.11,172.10.2.133
1.09E-05,10.0.0.11,172.20.2.55
1.09E-05,10.0.0.11,172.10.2.32
1.09E-05,10.0.0.11,172.30.2.140
1.09E-05,10.0.0.11,172.30.1.237
1.09E-05,10.0.0.11,172.30.1.252
1.09E-05,10.0.0.11,172.20.1.49
1.09E-05,10.0.0.11,172.10.1.133
1.09E-05,10.0.0.11,172.30.2.80
1.09E-05,10.0.0.11,172.30.1.49
1.09E-05,10.0.0.11,172.30.1.202
1.09E-05,10.0.0.11,172.20.2.38
1.09E-05,10.0.0.11,172.20.1.25
1.09E-05,10.0.0.11,172.30.2.100
1.09E-05,10.0.0.11,172.30.2.26
1.09E-05,10.0.0.11,172.10.1.204
1.09E-05,10.0.0.11,172.10.1.234
1.09E-05,10.0.0.11,172.10.1.67
1.09E-05,10.0.0.11,172.30.1.41
1.09E-05,10.0.0.11,172.20.2.35
1.09E-05,10.0.0.11,172.10.2.109
1.09E-05,10.0.0.11,172.20.2.85
1.09E-05,10.0.0.11,172.20.1.67
1.09E-05,10.0.0.11,172.30.1.203
1.09E-05,10.0.0.11,172.30.1.89
1.09E-05,10.0.0.11,172.20.1.228
1.09E-05,10.0.0.11,172.20.1.234
1.09E-05,10.0.0.11,172.10.1.103
1.09E-05,10.0.0.11,172.10.1.211
1.09E-05,10.0.0.11,172.20.1.68
1.09E-05,10.0.0.11,172.30.1.1
1.09E-05,10.0.0.11,172.20.1.177
1.09E-05,10.0.0.11,172.20.1.171
1.09E-05,10.0.0.11,172.30.2.102
1.09E-05,10.0.0.11,172.20.1.112
1.09E-05,10.0.0.11,172.30.1.90
1.09E-05,10.0.0.11,172.20.1.194
1.09E-05,10.0.0.11,172.10.1.233
1.09E-05,10.0.0.11,172.30.2.130
1.09E-05,10.0.0.11,172.10.1.201
1.09E-05,10.0.0.11,172.10.2.3
1.09E-05,10.0.0.11,172.10.1.15
1.09E-05,10.0.0.11,172.20.2.122
1.09E-05,10.0.0.11,172.20.1.215
1.09E-05,10.0.0.11,172.30.1.187
1.09E-05,10.0.0.11,172.20.1.7
1.09E-05,10.0.0.11,172.30.1.216
1.09E-05,10.0.0.11,172.10.2.14
1.09E-05,10.0.0.11,172.20.2.50
1.09E-05,10.0.0.11,172.20.1.231
1.09E-05,10.0.0.11,172.30.1.150
1.09E-05,10.0.0.11,172.30.2.143
1.09E-05,10.0.0.11,172.20.2.114
1.09E-05,10.0.0.11,172.30.1.107
1.09E-05,10.0.0.11,172.20.1.95
1.09E-05,10.0.0.11,172.10.2.83
1.09E-05,10.0.0.11,172.20.1.113
1.09E-05,10.0.0.11,172.20.1.103
1.09E-05,10.0.0.11,172.10.1.248
1.09E-05,10.0.0.11,172.10.1.59
1.09E-05,10.0.0.11,172.10.1.40
1.09E-05,10.0.0.11,172.20.1.240
1.09E-05,10.0.0.11,172.30.1.84
1.09E-05,10.0.0.11,172.10.2.145
1.09E-05,10.0.0.11,172.20.1.193
1.09E-05,10.0.0.11,172.10.1.89
1.09E-05,10.0.0.11,172.30.1.207
1.09E-05,10.0.0.11,172.20.2.82
1.09E-05,10.0.0.11,172.30.2.125
1.09E-05,10.0.0.11,172.20.1.252
1.09E-05,10.0.0.11,172.30.2.64
1.09E-05,10.0.0.11,172.20.2.60
1.09E-05,10.0.0.11,172.10.1.58
1.09E-05,10.0.0.11,172.10.2.35
1.09E-05,10.0.0.11,172.30.2.70
1.09E-05,10.0.0.11,172.20.2.90
1.09E-05,10.0.0.11,172.30.2.131
1.09E-05,10.0.0.11,172.30.1.191
1.09E-05,10.0.0.11,172.10.2.129
1.09E-05,10.0.0.11,172.30.1.37
1.09E-05,10.0.0.11,172.30.1.175
1.09E-05,10.0.0.11,172.20.1.33
1.09E-05,10.0.0.11,172.30.1.52
1.09E-05,10.0.0.11,172.20.1.100
1.09E-05,10.0.0.11,172.10.1.104
1.09E-05,10.0.0.11,172.30.1.118
1.09E-05,10.0.0.11,172.30.1.136
1.09E-05,10.0.0.11,172.20.1.125
1.09E-05,10.0.0.11,172.10.1.70
1.09E-05,10.0.0.11,172.30.2.58
1.09E-05,10.0.0.11,172.20.1.254
1.09E-05,10.0.0.11,172.30.1.77
1.09E-05,10.0.0.11,172.30.1.43
1.09E-05,10.0.0.11,172.30.1.241
1.09E-05,10.0.0.11,172.20.2.135
1.09E-05,10.0.0.11,172.20.1.181
1.09E-05,10.0.0.11,172.20.1.238
1.09E-05,10.0.0.11,172.10.1.231
1.09E-05,10.0.0.11,172.20.2.142
1.09E-05,10.0.0.11,172.20.2.26
1.09E-05,10.0.0.11,172.30.2.71
1.09E-05,10.0.0.11,172.20.2.44
1.09E-05,10.0.0.11,172.10.1.73
1.09E-05,10.0.0.11,172.20.1.137
1.09E-05,10.0.0.11,172.10.1.141
1.09E-05,10.0.0.11,172.20.2.144
1.09E-05,10.0.0.11,172.30.1.204
1.09E-05,10.0.0.11,172.30.1.249
1.09E-05,10.0.0.11,172.20.2.76
1.09E-05,10.0.0.11,172.30.1.12
1.09E-05,10.0.0.11,172.20.1.224
1.09E-05,10.0.0.11,172.10.1.28
1.09E-05,10.0.0.11,172.30.1.200
1.09E-05,10.0.0.11,172.20.2.32
1.09E-05,10.0.0.11,172.30.2.1
1.09E-05,10.0.0.11,172.30.2.90
1.09E-05,10.0.0.11,172.20.1.159
1.09E-05,10.0.0.11,172.20.1.211
1.09E-05,10.0.0.11,172.30.2.45
1.09E-05,10.0.0.11,172.30.1.139
1.09E-05,10.0.0.11,172.20.1.184
1.09E-05,10.0.0.11,172.20.1.149
1.09E-05,10.0.0.11,172.30.2.38
1.09E-05,10.0.0.11,172.10.1.13
1.09E-05,10.0.0.11,172.10.1.35
1.09E-05,10.0.0.11,172.30.1.145
1.09E-05,10.0.0.11,172.30.2.54
1.09E-05,10.0.0.11,172.20.2.14
1.09E-05,10.0.0.11,172.30.1.74
1.09E-05,10.0.0.11,172.10.1.149
1.09E-05,10.0.0.11,172.30.2.137
1.09E-05,10.0.0.11,172.30.2.109
1.09E-05,10.0.0.11,172.10.1.223
1.09E-05,10.0.0.11,172.30.1.144
1.09E-05,10.0.0.11,172.10.1.34
1.09E-05,10.0.0.11,172.20.1.43
1.09E-05,10.0.0.11,172.10.2.57
1.09E-05,10.0.0.11,172.10.1.64
1.09E-05,10.0.0.11,172.30.1.85
1.09E-05,10.0.0.11,172.20.1.78
1.09E-05,10.0.0.11,172.20.1.144
1.09E-05,10.0.0.11,172.20.2.128
1.09E-05,10.0.0.11,172.30.1.134
1.09E-05,10.0.0.11,172.30.2.99
1.09E-05,10.0.0.11,172.20.1.6
1.09E-05,10.0.0.11,172.30.1.190
1.09E-05,10.0.0.11,172.10.1.252
1.09E-05,10.0.0.11,172.30.2.55
1.09E-05,10.0.0.11,172.10.1.72
1.09E-05,10.0.0.11,172.30.1.68
1.09E-05,10.0.0.11,172.20.1.229
1.09E-05,10.0.0.11,172.20.1.161
1.09E-05,10.0.0.11,172.20.1.236
1.09E-05,10.0.0.11,172.30.2.8
1.09E-05,10.0.0.11,172.10.1.235
1.09E-05,10.0.0.11,172.30.1.23
1.09E-05,10.0.0.11,172.10.2.88
1.09E-05,10.0.0.11,172.20.1.4
1.09E-05,10.0.0.11,172.10.1.240
1.09E-05,10.0.0.11,172.20.1.214
1.09E-05,10.0.0.11,172.20.1.36
1.09E-05,10.0.0.11,172.10.2.142
1.09E-05,10.0.0.11,172.30.1.81
1.09E-05,10.0.0.11,172.10.1.190
1.09E-05,10.0.0.11,172.10.1.87
1.09E-05,10.0.0.11,172.10.2.77
1.09E-05,10.0.0.11,172.30.1.11
1.09E-05,10.0.0.11,172.20.2.25
1.09E-05,10.0.0.11,172.10.1.212
1.09E-05,10.0.0.11,172.10.1.241
1.09E-05,10.0.0.11,172.30.2.20
1.09E-05,10.0.0.11,172.10.1.168
1.09E-05,10.0.0.11,172.20.2.118
1.09E-05,10.0.0.11,172.30.1.8
1.09E-05,10.0.0.11,172.30.1.142
1.09E-05,10.0.0.11,172.20.1.216
1.09E-05,10.0.0.11,172.30.2.145
1.09E-05,10.0.0.11,172.20.2.33
1.09E-05,10.0.0.11,172.30.1.218
1.09E-05,10.0.0.11,172.30.1.166
1.09E-05,10.0.0.11,172.30.1.238
1.09E-05,10.0.0.11,172.10.1.172
1.09E-05,10.0.0.11,172.30.1.131
1.09E-05,10.0.0.11,172.10.1.219
1.09E-05,10.0.0.11,172.30.2.39
1.09E-05,10.0.0.11,172.20.2.11
1.09E-05,10.0.0.11,172.10.2.20
1.09E-05,10.0.0.11,172.20.2.5
1.09E-05,10.0.0.11,172.20.1.180
1.09E-05,10.0.0.11,172.10.1.216
1.09E-05,10.0.0.11,172.20.2.92
1.09E-05,10.0.0.11,172.20.2.71
1.09E-05,10.0.0.11,172.10.2.92
1.09E-05,10.0.0.11,172.30.1.94
1.09E-05,10.0.0.11,172.30.1.79
1.09E-05,10.0.0.11,172.20.2.54
1.09E-05,10.0.0.11,172.20.2.17
1.09E-05,10.0.0.11,172.10.1.57
1.09E-05,10.0.0.11,172.20.1.26
1.09E-05,10.0.0.11,172.10.2.102
1.09E-05,10.0.0.11,172.20.1.245
1.09E-05,10.0.0.11,172.10.1.238
1.09E-05,10.0.0.11,172.30.1.169
1.09E-05,10.0.0.11,172.10.2.39
1.09E-05,10.0.0.11,172.20.1.55
1.09E-05,10.0.0.11,172.20.2.67
1.09E-05,10.0.0.11,172.30.1.50
1.09E-05,10.0.0.11,172.30.1.80
1.09E-05,10.0.0.11,172.20.2.51
1.09E-05,10.0.0.11,172.30.2.92
1.09E-05,10.0.0.11,172.20.1.37
1.09E-05,10.0.0.11,172.30.1.88
1.09E-05,10.0.0.11,172.30.2.74
1.09E-05,10.0.0.11,172.20.2.40
1.09E-05,10.0.0.11,172.10.2.26
1.09E-05,10.0.0.11,172.20.2.116
1.09E-05,10.0.0.11,172.20.1.64
1.09E-05,10.0.0.11,172.20.2.12
1.09E-05,10.0.0.11,172.10.1.206
1.09E-05,10.0.0.11,172.20.1.164
1.09E-05,10.0.0.11,172.20.2.30
1.09E-05,10.0.0.11,172.30.1.179
1.09E-05,10.0.0.11,172.20.1.16
1.09E-05,10.0.0.11,172.20.1.130
1.09E-05,10.0.0.11,172.20.1.156
1.09E-05,10.0.0.11,172.20.1.246
1.09E-05,10.0.0.11,172.20.2.1
1.09E-05,10.0.0.11,172.10.1.186
1.09E-05,10.0.0.11,172.10.1.146
1.09E-05,10.0.0.11,172.10.1.112
1.09E-05,10.0.0.11,172.10.1.19
1.09E-05,10.0.0.11,172.30.1.129
1.09E-05,10.0.0.11,172.10.1.208
1.09E-05,10.0.0.11,172.10.1.75
1.09E-05,10.0.0.11,172.30.1.154
1.09E-05,10.0.0.11,172.30.1.115
1.09E-05,10.0.0.11,172.20.1.24
1.09E-05,10.0.0.11,172.10.1.224
1.09E-05,10.0.0.11,172.10.1.99
1.09E-05,10.0.0.11,172.10.1.39
1.09E-05,10.0.0.11,172.10.1.26
1.09E-05,10.0.0.11,172.30.2.16
1.09E-05,10.0.0.11,172.10.2.103
1.09E-05,10.0.0.11,172.30.1.170
1.09E-05,10.0.0.11,172.10.1.30
1.09E-05,10.0.0.11,172.20.1.154
1.09E-05,10.0.0.11,172.30.2.51
1.09E-05,10.0.0.11,172.10.1.53
1.11E-05,10.0.0.12,172.30.1.221
1.12E-05,10.0.0.5,172.20.2.11
1.12E-05,10.0.0.5,172.30.2.32
1.12E-05,10.0.0.5,172.20.2.117
1.12E-05,10.0.0.5,172.10.1.4
1.12E-05,10.0.0.5,172.10.1.251
1.12E-05,10.0.0.5,172.10.2.17
1.12E-05,10.0.0.5,172.30.2.45
1.12E-05,10.0.0.5,172.10.1.109
1.12E-05,10.0.0.5,172.20.2.50
1.12E-05,10.0.0.5,172.20.2.41
1.12E-05,10.0.0.5,172.20.1.253
1.12E-05,10.0.0.5,172.20.2.109
1.12E-05,10.0.0.5,172.10.1.24
1.12E-05,10.0.0.5,172.20.1.208
1.12E-05,10.0.0.5,172.20.2.85
1.12E-05,10.0.0.5,172.20.2.71
1.12E-05,10.0.0.5,172.30.1.253
1.12E-05,10.0.0.5,172.20.1.4
1.12E-05,10.0.0.5,172.20.2.139
1.12E-05,10.0.0.5,172.20.1.250
1.12E-05,10.0.0.5,172.20.1.67
1.12E-05,10.0.0.5,172.30.2.121
1.12E-05,10.0.0.5,172.30.1.126
1.12E-05,10.0.0.5,172.20.1.174
1.12E-05,10.0.0.5,172.10.1.122
1.12E-05,10.0.0.5,172.30.1.170
1.12E-05,10.0.0.5,172.30.2.2
1.12E-05,10.0.0.5,172.10.2.50
1.12E-05,10.0.0.5,172.30.1.193
1.12E-05,10.0.0.5,172.30.2.11
1.12E-05,10.0.0.5,172.30.2.111
1.12E-05,10.0.0.5,172.30.2.28
1.12E-05,10.0.0.5,172.30.1.71
1.12E-05,10.0.0.5,172.20.1.225
1.12E-05,10.0.0.5,172.20.1.206
1.12E-05,10.0.0.5,172.30.1.233
1.12E-05,10.0.0.5,172.30.2.117
1.12E-05,10.0.0.5,172.20.1.57
1.12E-05,10.0.0.5,172.20.1.49
1.12E-05,10.0.0.5,172.20.1.82
1.12E-05,10.0.0.5,172.20.1.100
1.12E-05,10.0.0.5,172.30.1.41
1.12E-05,10.0.0.5,172.10.1.117
1.12E-05,10.0.0.5,172.10.1.211
1.12E-05,10.0.0.5,172.20.1.44
1.12E-05,10.0.0.5,172.10.2.128
1.12E-05,10.0.0.5,172.10.2.92
1.12E-05,10.0.0.5,172.10.1.22
1.12E-05,10.0.0.5,172.10.1.148
1.12E-05,10.0.0.5,172.10.1.83
1.12E-05,10.0.0.5,172.10.2.14
1.12E-05,10.0.0.5,172.10.1.93
1.12E-05,10.0.0.5,172.10.2.136
1.12E-05,10.0.0.5,172.30.1.64
1.12E-05,10.0.0.5,172.20.2.10
1.12E-05,10.0.0.5,172.30.1.14
1.12E-05,10.0.0.5,172.10.2.95
1.12E-05,10.0.0.5,172.30.1.166
1.12E-05,10.0.0.5,172.10.2.140
1.12E-05,10.0.0.5,172.10.2.44
1.12E-05,10.0.0.5,172.20.1.209
1.12E-05,10.0.0.5,172.10.2.13
1.12E-05,10.0.0.5,172.10.1.227
1.12E-05,10.0.0.5,172.10.1.53
1.12E-05,10.0.0.5,172.10.1.74
1.12E-05,10.0.0.5,172.10.2.132
1.12E-05,10.0.0.5,172.20.1.90
1.12E-05,10.0.0.5,172.20.1.104
1.12E-05,10.0.0.5,172.30.2.147
1.12E-05,10.0.0.5,172.20.2.13
1.12E-05,10.0.0.5,172.30.2.132
1.12E-05,10.0.0.5,172.20.2.136
1.12E-05,10.0.0.5,172.20.1.241
1.12E-05,10.0.0.5,172.10.2.82
1.12E-05,10.0.0.5,172.30.2.30
1.12E-05,10.0.0.5,172.20.1.207
1.12E-05,10.0.0.5,172.10.1.224
1.12E-05,10.0.0.5,172.10.2.147
1.12E-05,10.0.0.5,172.30.1.206
1.12E-05,10.0.0.5,172.20.2.135
1.12E-05,10.0.0.5,172.10.1.254
1.12E-05,10.0.0.5,172.10.2.91
1.12E-05,10.0.0.5,172.10.1.209
1.12E-05,10.0.0.5,172.30.2.95
1.12E-05,10.0.0.5,172.20.1.244
1.12E-05,10.0.0.5,172.10.2.16
1.12E-05,10.0.0.5,172.10.1.43
1.12E-05,10.0.0.5,172.30.2.92
1.12E-05,10.0.0.5,172.20.2.51
